,League,Date,Time,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
1,COSTA RICA - PRIMERA DIVISION,2025-05-04,00:00,AD Santos,Zeledon, CLAUSURA,1.85,3.4,3.8,1.44,2.63,3.25,1.33,1.06,10.0,1.36,3.0,2.15,1.67,2.0,1.73
2,CHILE - LIGA DE PRIMERA,2025-05-04,00:30,Coquimbo,O'Higgins, ROUND 10,2.05,3.5,3.5,1.4,2.75,3.0,1.36,1.06,9.5,1.3,3.4,2.05,1.8,1.83,1.83
3,CANADA - CANADIAN PREMIER LEAGUE,2025-05-04,01:00,Valour,Vancouver FC,-,2.38,3.1,2.8,1.38,2.8,2.8,1.38,1.04,8.5,1.33,3.0,2.05,1.7,1.8,1.91
4,COSTA RICA - PRIMERA DIVISION,2025-05-04,01:00,Liberia,Cartagines, CLAUSURA,2.88,3.4,2.25,1.4,2.75,2.75,1.4,1.05,11.0,1.29,3.5,1.92,1.82,1.73,2.0
5,USA - USL CHAMPIONSHIP,2025-05-04,01:00,Indy Eleven,Detroit,-,2.4,3.1,2.8,1.4,2.75,2.9,1.35,1.01,1.01,1.33,3.0,2.1,1.67,1.8,1.91
6,USA - USL CHAMPIONSHIP,2025-05-04,01:00,Pittsburgh,North Carolina,-,2.0,3.1,3.2,1.44,2.55,3.1,1.33,1.01,1.01,1.4,2.75,2.15,1.6,2.0,1.73
7,COLOMBIA - PRIMERA A,2025-05-04,01:10,Dep. Cali,Deportes Tolima, APERTURA,2.45,3.0,3.1,1.57,2.25,3.75,1.25,1.1,7.0,1.5,2.5,2.6,1.48,2.1,1.67
8,BRAZIL - SERIE B SUPERBET,2025-05-04,01:30,Volta Redonda,Paysandu PA, ROUND 6,1.95,3.2,3.9,1.53,2.38,3.5,1.29,1.08,8.0,1.44,2.63,2.4,1.53,2.2,1.62
9,PERU - LIGA 1,2025-05-04,01:30,Cusco,U. de Deportes, APERTURA,2.7,3.2,2.6,1.44,2.63,3.25,1.33,1.07,9.0,1.36,3.0,2.15,1.67,1.83,1.83
10,URUGUAY - LIGA AUF URUGUAYA,2025-05-04,01:30,Cerro Largo,Plaza Colonia, APERTURA,2.25,2.9,3.25,1.57,2.25,3.75,1.25,1.11,6.5,1.5,2.5,2.6,1.48,2.2,1.62
11,USA - MLS,2025-05-04,01:30,CF Montreal,Philadelphia Union,-,2.8,3.3,2.5,1.36,3.0,2.75,1.4,1.05,11.0,1.25,3.75,1.93,1.93,1.7,2.05
12,USA - MLS,2025-05-04,01:30,Columbus Crew,Charlotte,-,1.67,4.0,4.75,1.29,3.5,2.25,1.57,1.03,15.0,1.18,4.5,1.6,2.3,1.62,2.2
13,USA - MLS,2025-05-04,01:30,DC United,Colorado Rapids,-,2.1,3.6,3.2,1.25,3.75,2.2,1.62,1.03,17.0,1.17,5.0,1.53,2.4,1.5,2.5
14,USA - MLS,2025-05-04,01:30,Inter Miami,New York Red Bulls,-,1.65,4.1,5.0,1.29,3.5,2.25,1.57,1.03,15.0,1.18,4.5,1.62,2.25,1.67,2.1
15,USA - USL CHAMPIONSHIP,2025-05-04,01:30,Tampa Bay,Birmingham,-,1.75,3.6,4.0,1.33,3.0,2.63,1.44,1.01,1.01,1.25,3.75,1.73,2.0,1.67,2.1
16,ARGENTINA - TORNEO BETANO,2025-05-04,02:00,Atl. Tucuman,Lanus, APERTURA,2.63,3.0,3.0,1.57,2.25,3.75,1.25,1.1,7.0,1.5,2.5,2.6,1.48,2.1,1.67
17,ARGENTINA - TORNEO BETANO,2025-05-04,02:00,Huracan,Barracas Central, APERTURA,2.1,3.1,4.0,1.62,2.2,4.0,1.22,1.14,5.5,1.62,2.2,2.88,1.4,2.5,1.5
18,BOLIVIA - DIVISION PROFESIONAL,2025-05-04,02:00,Tomayapo,Aurora, ROUND 6,2.3,3.3,2.7,1.4,2.75,3.0,1.36,1.06,10.0,1.33,3.25,2.08,1.73,1.8,1.91
19,BRAZIL - SERIE A BETANO,2025-05-04,02:00,Bahia,Botafogo RJ, ROUND 7,2.15,3.5,3.3,1.4,2.75,3.0,1.36,1.06,10.0,1.33,3.4,2.07,1.83,1.8,1.95
20,ECUADOR - LIGA PRO,2025-05-04,02:00,Mushuc Runa,Macara, ROUND 11,2.25,3.2,3.25,1.44,2.63,3.25,1.33,1.07,9.0,1.36,3.0,2.1,1.7,1.83,1.83
21,VENEZUELA - LIGA FUTVE,2025-05-04,02:00,Anzoategui FC,Universidad Central, APERTURA,2.5,2.9,2.9,1.53,2.38,3.4,1.29,1.09,6.0,1.5,2.5,2.5,1.5,2.1,1.67
22,USA - MLS,2025-05-04,02:30,Austin FC,Minnesota United,-,2.4,3.5,2.8,1.4,2.75,2.75,1.4,1.06,10.0,1.3,3.4,2.0,1.85,1.75,2.0
23,USA - MLS,2025-05-04,02:30,Chicago Fire,Orlando City,-,2.8,3.4,2.45,1.33,3.25,2.63,1.44,1.04,13.0,1.22,4.0,1.73,2.08,1.62,2.2
24,USA - USL CHAMPIONSHIP,2025-05-04,03:00,Colorado Springs,Phoenix Rising,-,1.8,3.6,3.8,1.3,3.2,2.5,1.5,1.01,1.01,1.22,4.0,1.67,2.1,1.62,2.2
25,USA - USL CHAMPIONSHIP,2025-05-04,03:00,El Paso,New Mexico,-,2.3,3.3,2.8,1.36,2.8,2.75,1.4,1.01,1.01,1.29,3.4,1.83,1.83,1.67,2.1
26,USA - MLS,2025-05-04,03:15,San Diego FC,FC Dallas,-,1.7,4.0,4.5,1.3,3.4,2.38,1.53,1.03,15.0,1.18,4.5,1.62,2.25,1.67,2.1
