,League,Date,Time,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
1,MEXICO - LIGA MX,2025-03-30,00:00,Juarez,Puebla, CLAUSURA,1.95,3.4,4.0,1.44,2.63,3.25,1.33,1.06,10.0,1.33,3.25,2.1,1.7,1.91,1.91
2,MEXICO - LIGA MX,2025-03-30,00:00,Toluca,Pachuca, CLAUSURA,1.85,3.8,3.9,1.29,3.5,2.25,1.57,1.03,17.0,1.14,5.5,1.53,2.4,1.5,2.5
3,PERU - LIGA 1,2025-03-30,00:00,Deportivo Garcilaso,Sport Boys, APERTURA,1.53,3.75,6.0,1.33,3.25,2.63,1.44,1.04,13.0,1.22,4.0,1.75,2.05,1.83,1.83
4,USA - USL CHAMPIONSHIP,2025-03-30,00:00,Indy Eleven,Colorado Springs,-,2.25,3.25,2.7,1.36,2.88,2.65,1.42,1.02,10.0,1.29,3.4,1.83,1.85,1.68,2.0
5,USA - USL CHAMPIONSHIP,2025-03-30,00:00,Lexington,San Antonio,-,2.15,3.25,2.9,1.4,2.7,2.88,1.36,1.05,8.5,1.33,2.95,2.0,1.7,1.85,1.83
6,USA - USL CHAMPIONSHIP,2025-03-30,00:00,Miami FC,New Mexico,-,4.5,3.9,1.55,1.3,3.2,2.45,1.5,1.01,1.01,1.22,3.8,1.67,2.0,1.77,1.93
7,USA - USL CHAMPIONSHIP,2025-03-30,00:00,North Carolina,Charleston,-,2.4,3.25,2.55,1.36,2.8,2.75,1.4,1.04,9.0,1.33,3.1,1.95,1.75,1.78,1.9
8,USA - USL CHAMPIONSHIP,2025-03-30,00:00,Pittsburgh,Birmingham,-,1.67,3.45,4.33,1.42,2.65,2.9,1.36,1.04,9.0,1.33,3.0,2.0,1.73,1.95,1.73
9,COLOMBIA - PRIMERA A,2025-03-30,00:05,Dep. Pasto,Dep. Cali, APERTURA,2.25,3.0,3.5,1.67,2.1,4.33,1.2,1.14,5.5,1.57,2.25,2.88,1.4,2.38,1.53
10,PARAGUAY - COPA DE PRIMERA,2025-03-30,00:30,Recoleta,Olimpia Asuncion, APERTURA,5.0,3.4,1.7,1.44,2.63,3.0,1.36,1.07,9.0,1.3,3.4,2.03,1.78,1.91,1.8
11,USA - MLS,2025-03-30,00:30,Atlanta Utd,New York City,-,1.75,3.9,4.5,1.3,3.4,2.5,1.5,1.03,15.0,1.18,4.5,1.62,2.25,1.62,2.2
12,USA - MLS,2025-03-30,00:30,DC United,Columbus Crew,-,2.7,3.6,2.5,1.3,3.4,2.5,1.5,1.03,15.0,1.18,4.5,1.62,2.25,1.53,2.38
13,USA - MLS,2025-03-30,00:30,Inter Miami,Philadelphia Union,-,1.65,4.33,4.5,1.25,3.75,2.2,1.62,1.02,19.0,1.13,6.0,1.44,2.7,1.5,2.5
