,League,Date,Time,Round,Home,Away,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_BTTS_Yes,HT_Odd_BTTS_No,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Lay_Home,FT_Odd_Lay_Draw,FT_Odd_Lay_Away,Pre_Match_Home_Expected_Goals,Pre_Match_Away_Expected_Goals,Pre_Match_Total_Expected_Goals,BTTS_First_Half_Potential,BTTS_Second_Half_Potential,BTTS_Potential,Pre_Match_Home_Points_per_Game,Pre_Match_Home_Overall_Points_per_Game,Pre_Match_Away_Points_per_Game,Pre_Match_Away_Overall_Points_per_Game
0,Argentina Prim B Nacional,2025-08-24,00:10:00,28,Estudiantes Caseros,Talleres Remedios,2.33,1.95,7.0,1.57,2.25,3.7,1.25,10.0,1.02,0.0,0.0,1.5,3.45,8.0,1.11,5.75,1.6,2.2,2.77,1.39,3.05,1.29,2.25,0.0,1.25,0.93,0.88,1.81,16.0,8.0,23.0,1.62,1.56,0.23,0.63
1,Brazil Serie C,2025-08-24,00:30:00,18,Figueirense,Floresta,2.7,1.87,5.91,1.68,2.3,4.15,1.22,11.5,1.03,0.0,0.0,1.85,3.1,4.5,1.13,6.1,1.55,2.25,2.85,1.37,2.57,1.48,1.82,1.32,1.33,1.86,1.01,2.87,13.0,30.0,48.0,1.25,1.18,0.78,1.41
2,USA USL Championship,2025-08-24,01:00:00,0,Detroit City FC,Tampa Bay Rowdies,2.68,1.98,4.0,1.43,2.62,3.0,1.34,7.9,1.02,0.0,0.0,1.8,3.5,4.2,1.01,8.5,1.3,2.97,2.0,1.72,1.83,1.86,1.67,1.33,1.3,1.29,1.0,2.29,42.0,5.0,51.0,1.5,1.25,0.91,0.95
3,USA USL Championship,2025-08-24,01:00:00,0,Lexington,Oakland Roots,2.35,2.23,4.2,1.37,3.1,2.65,1.41,6.5,1.1,0.0,0.0,1.88,3.9,3.4,1.0,9.8,1.23,3.4,1.87,1.83,1.74,1.94,1.9,1.3,1.22,1.41,0.99,2.4,22.0,32.0,59.0,1.6,1.25,1.44,1.11
4,Canada Canadian Premier League,2025-08-24,01:00:00,0,Atlético Ottawa,Cavalry FC,3.04,2.05,3.7,1.42,2.62,3.0,1.33,8.5,1.06,0.0,0.0,2.4,3.2,2.9,1.06,7.5,1.36,2.85,1.95,1.75,1.97,1.85,1.62,0.0,1.33,1.51,1.45,2.96,18.0,30.0,60.0,2.25,2.05,1.33,1.33
5,USA USL Championship,2025-08-24,01:00:00,0,Indy Eleven,Miami FC II,2.15,2.3,5.05,1.32,3.0,2.72,1.44,6.25,1.06,0.0,0.0,1.6,4.05,4.7,1.01,10.0,1.2,3.6,1.7,2.02,1.8,1.91,2.2,1.25,1.13,1.33,1.16,2.49,20.0,27.0,55.0,1.2,1.05,1.0,1.0
6,USA USL Championship,2025-08-24,01:00:00,0,Hartford Athletic,Rhode Island,3.16,2.1,3.32,1.35,2.85,2.65,1.42,7.0,1.06,0.0,0.0,2.3,3.35,2.85,1.02,8.8,1.26,3.28,1.85,1.85,1.67,2.13,1.48,1.33,1.28,1.36,1.16,2.52,15.0,5.0,28.0,1.36,1.21,1.0,1.05
14,USA MLS,2025-08-24,01:30:00,0,DC United,Inter Miami,3.75,2.5,2.38,1.22,4.0,2.1,1.67,4.5,1.18,0.0,0.0,3.45,3.71,1.79,1.01,17.0,1.15,5.25,1.47,2.57,1.44,2.63,1.28,1.23,1.9,1.15,1.24,2.39,33.0,24.0,65.0,0.85,0.74,1.75,1.88
13,Brazil Serie B,2025-08-24,01:30:00,23,CRB,Atlético PR,3.1,2.0,3.54,1.45,2.56,3.32,1.32,8.6,1.05,0.0,0.0,2.68,3.1,2.36,1.08,8.0,1.38,2.8,2.2,1.6,1.92,1.88,1.5,1.34,1.3,1.59,1.06,2.65,25.0,15.0,55.0,2.2,1.41,1.1,1.23
12,USA MLS,2025-08-24,01:30:00,0,FC Cincinnati,New York City,2.5,2.3,4.0,1.3,3.4,2.5,1.5,6.0,1.13,0.0,0.0,1.85,3.5,3.41,1.04,10.0,1.22,4.2,1.6,2.35,1.67,2.1,1.85,1.26,1.27,1.59,1.22,2.81,20.0,29.0,52.0,1.92,1.93,1.08,1.64
11,USA NWSL,2025-08-24,01:30:00,17,Gotham FC,Utah Royals,2.0,2.24,6.0,1.35,2.9,2.68,1.42,6.0,1.09,0.0,0.0,1.5,4.2,5.8,1.02,10.0,1.22,3.4,1.8,1.9,1.95,1.75,2.5,0.0,1.22,1.73,1.38,3.11,21.0,14.0,54.0,1.0,1.25,0.29,0.44
9,USA MLS,2025-08-24,01:30:00,0,Philadelphia Union,Chicago Fire,2.3,2.5,4.0,1.29,3.5,2.25,1.57,5.5,1.14,0.0,0.0,1.75,3.7,3.61,1.01,13.0,1.18,4.75,1.54,2.38,1.57,2.25,1.95,1.24,1.25,1.76,1.46,3.22,26.0,38.0,78.0,2.21,1.89,1.69,1.5
8,USA USL Championship,2025-08-24,01:30:00,0,Charleston Battery,Loudoun United,1.99,2.38,5.29,1.26,3.34,2.2,1.55,5.0,1.12,0.0,0.0,1.57,4.2,4.8,1.0,13.8,1.15,4.3,1.55,2.25,1.67,2.0,2.32,0.0,1.18,1.87,1.24,3.11,36.0,32.0,58.0,2.67,2.2,1.1,1.55
7,USA MLS,2025-08-24,01:30:00,0,Columbus Crew,New England Revolution,2.0,2.63,5.0,1.25,3.75,2.1,1.67,4.5,1.18,0.0,0.0,1.49,4.1,4.9,1.01,17.0,1.15,5.25,1.48,2.54,1.57,2.25,2.45,1.19,1.16,1.72,1.29,3.01,26.0,26.0,59.0,1.93,1.69,1.31,1.08
10,USA MLS,2025-08-24,01:30:00,0,Montreal Impact,Austin,3.2,2.25,3.1,1.33,3.25,2.63,1.44,7.0,1.1,0.0,0.0,2.49,3.32,2.4,1.04,10.0,1.25,3.85,1.76,1.94,1.67,2.1,1.47,1.28,1.5,1.32,1.09,2.41,20.0,24.0,52.0,0.62,0.74,1.33,1.4
15,Chile Primera División,2025-08-24,02:00:00,21,Universidad Católica,Unión Española,2.4,2.25,4.0,1.34,2.95,2.6,1.44,6.0,1.1,0.0,0.0,1.86,3.8,3.99,1.02,9.0,1.25,3.6,1.85,1.91,1.73,2.0,2.0,0.0,1.26,1.39,1.4,2.79,23.0,7.0,36.0,2.25,1.58,0.33,0.7
16,Ecuador Primera Categoría Serie A,2025-08-24,02:00:00,26,Cuniburo,Barcelona,3.75,2.2,2.75,1.36,3.0,2.75,1.4,7.0,1.1,0.0,0.0,3.3,3.25,2.15,1.05,9.0,1.3,3.45,1.9,1.9,1.73,2.0,1.25,1.25,1.8,1.37,1.02,2.39,21.0,34.0,54.0,1.08,0.96,1.92,1.76
17,Brazil Serie A,2025-08-24,02:00:00,21,Grêmio,Ceará,2.7,1.91,4.75,1.5,2.4,3.4,1.25,9.8,1.0,0.0,0.0,1.97,2.96,3.66,1.1,6.5,1.5,2.5,2.45,1.55,2.1,1.65,1.73,1.34,1.33,1.25,1.09,2.34,28.0,17.0,56.0,1.67,1.21,0.89,1.32
18,USA USL Championship,2025-08-24,02:00:00,0,Louisville City,New Mexico United,1.91,2.4,5.1,1.28,3.34,2.5,1.52,5.0,1.15,0.0,0.0,1.52,4.3,5.3,1.03,12.4,1.16,4.05,1.62,2.15,1.78,1.92,2.62,1.22,1.2,1.54,1.36,2.9,30.0,15.0,50.0,2.6,2.35,1.2,1.44
19,USA USL Championship,2025-08-24,02:00:00,0,Birmingham Legion,Pittsburgh Riverhounds,3.38,1.95,3.5,1.44,2.58,3.14,1.31,8.0,1.01,0.0,0.0,2.9,3.1,2.4,1.02,8.2,1.35,2.74,2.2,1.6,1.85,1.83,1.45,0.0,1.3,1.12,0.88,2.0,14.0,15.0,39.0,0.82,0.95,0.67,1.35
20,Bolivia LFPB,2025-08-24,02:00:00,18,Guabirá,Nacional Potosí,2.75,2.5,3.05,1.23,3.56,2.12,1.62,4.5,1.16,0.0,0.0,2.2,4.0,2.65,1.01,15.0,1.13,5.25,1.5,2.5,1.44,2.48,1.6,1.21,1.42,1.5,1.34,2.84,26.0,32.0,51.0,2.0,1.29,0.88,1.18
21,Argentina Prim B Nacional,2025-08-24,02:15:00,28,Deportivo Morón,Nueva Chicago,2.63,1.85,5.25,1.67,2.1,4.0,1.18,13.0,1.03,0.0,0.0,1.95,2.9,4.6,1.1,5.0,1.65,2.1,2.99,1.34,2.45,1.5,1.75,0.0,1.18,1.32,0.92,2.24,16.0,32.0,48.0,2.25,1.65,1.08,1.22
24,USA MLS,2025-08-24,02:30:00,0,FC Dallas,Los Angeles FC,4.0,2.3,2.5,1.3,3.4,2.5,1.5,6.0,1.13,0.0,0.0,3.4,3.45,1.87,1.04,10.0,1.22,4.2,1.62,2.3,1.67,2.1,1.31,1.27,1.75,1.24,1.36,2.6,44.0,34.0,59.0,0.85,1.12,1.27,1.67
25,USA USL Championship,2025-08-24,02:30:00,0,Tulsa Roughnecks,Orange County SC,2.3,2.24,4.5,1.33,3.04,2.5,1.44,5.75,1.06,0.0,0.0,1.95,3.6,3.45,1.02,10.4,1.21,3.58,1.8,1.9,1.75,2.04,1.87,1.3,1.24,1.65,1.04,2.69,20.0,21.0,52.0,2.0,1.95,0.89,1.5
